word,number neighbors,label words
learn,373,teach[SYN] Learn[MORPHO] learned[MORPHO] learning[MORPHO] visit_www.imuc.com discover[SYN] Vectren_visit_http://www.vectren.com please_visit_www.ubisoftgroup.com Company_visit_http://www.csst.com IMUC_please
pass,362,passes[MORPHO] passing[MORPHO] badly_underthrown passed[MORPHO] dumpoff passess[MORPHO] nifty_wraparound passs[MORPHO] eluded_tacklers mark_Olukunle
work,33,working[MORPHO] works[MORPHO] worked[MORPHO] Work[MORPHO] towork job[COHYPO] Working[MORPHO] labors[COHYPO] roofers_painters dry_walling[COHYPO]
group,33,groups[MORPHO] organization[HYPO] =_rectangle goup Groups[MORPHO] advocacy[COHYPO] GROUP[MORPHO] Ithmaar_banking Neturei_Karta_sect consortium[HYPO]
ride,321,rides[MORPHO] riding[COHYPO] rode[MORPHO] Ride[MORPHO] Rides[MORPHO] Fabio_complimented joyride[HYPO] riders[COHYPO] DALMAC hop[COHYPO]
mention,32,mentioning[MORPHO] mentions[MORPHO] mentioned[MORPHO] allude nary_mention alluded forget Mention[MORPHO] cite[SYN] belabor
support,31,supporting[MORPHO] suport suppport Support[MORPHO] supported[MORPHO] backing[SYN] supports[MORPHO] assistance[COHYPO] sup_port supportive
town,281,village[COHYPO] hamlet[COHYPO] towns[MORPHO] city[COHYPO] Town[MORPHO] townspeople[SYN] tiny_hamlet municipality[COHYPO] township[SYN] townsfolk[SYN]
play,278,playing[MORPHO] plays[MORPHO] played[MORPHO] game[COHYPO] toplay Playing[MORPHO] games[COHYPO] paly score[COHYPO] Play[MORPHO]
forget,231,remember[ANTO] forgotten[MORPHO] forgetting[MORPHO] forgets[MORPHO] forgot[MORPHO] know remind foget overlook realize
long,22,short[ANTO] Long[MORPHO] longer[MORPHO] MSIM_strives lengthy longest[MORPHO] shorter commercialize_duloxetine_hydrochloride Pattern_Trapper_ADVANCED_Short LONG[MORPHO]
wake,22,aftermath[SYN] following[COHYPO] woke[MORPHO] wakeup_call woken[MORPHO] immediate_aftermath midst[COHYPO] wakes[MORPHO] waking[MORPHO] after
become,21,becoming[MORPHO] became[MORPHO] becomes[MORPHO] Becoming[MORPHO] beome Become[MORPHO] becomming increasingly be growingly
human,204,human_beings[HYPO] humans[MORPHO] impertinent_flamboyant_endearingly employee_Laura_Althouse humankind[HYPO] Human[MORPHO] mankind[HYPO] Christine_Gaugler_head humanity[COHYPO] sentient_intelligent
high,20,low[ANTO] High[MORPHO] higher[MORPHO] highest[MORPHO] ahigh lower[COHYPO] Low[COHYPO] HIGH[MORPHO] lowest elevated[COHYPO]
worry,186,worried[MORPHO] fret[COHYPO] worries[MORPHO] fretting worrying[MORPHO] fear[COHYPO] Worry[MORPHO] concerned complain concern[SYN]
see,180,seeing[MORPHO] look[SYN] know[COHYPO] think[COHYPO] tell find[SYN] watch[SYN] expect imagine realize[SYN]
complete,18,completed[MORPHO] completing[MORPHO] completes[MORPHO] Complete[MORPHO] full Completing[MORPHO] completion Successfully_completing detailed partial
hold,17,holding[MORPHO] held[MORPHO] holds[MORPHO] Hold[MORPHO] take[SYN] put[COHYPO] hang[COHYPO] cling[COHYPO] convene wrap[COHYPO]
control,17,controlling[MORPHO] contol controls[MORPHO] controlled[MORPHO] Control[MORPHO] Controlling[MORPHO] grip[COHYPO] con_trol conrol controllable
explain,166,understand explaining[MORPHO] clarify[HYPO] elucidate[HYPO] comprehend fathom describe[HYPO] explanation decipher[COHYPO] illustrate[HYPO]
try,160,trying[MORPHO] tried[MORPHO] tries[MORPHO] want[COHYPO] hoping Trying[MORPHO] attempt[SYN] regroup_refocus attempting let
open,16,opened[MORPHO] closed[ANTO] opens[MORPHO] opening[MORPHO] reopen closes[COHYPO] close[ANTO] 9am_5pm_Mon reopened ajar
hear,159,heard[MORPHO] hears[MORPHO] listen[SYN] listened[COHYPO] tell Hear[MORPHO] listening see[SYN] spoons_clanking Wah_wah_wah
talk,156,talking[MORPHO] talked[MORPHO] speak[SYN] Talk[MORPHO] discuss[COHYPO] discussing tell brag[COHYPO] complain blab[SYN]
realize,156,realizing[MORPHO] understand[SYN] realized[MORPHO] know recognize[SYN] think realizes[MORPHO] appreciate comprehend forget
imagine,153,fathom envision[HYPO] imagining[MORPHO] imagined[MORPHO] Imagine[MORPHO] wonder contemplate think[SYN] remember see
went,137,came[HYPO] ran[HYPO] gone drove walked[HYPO] took flew[HYPO] stayed go[SYN] proceeded
pool,132,pools[MORPHO] swimming_pool[HYPO] Pool[MORPHO] inflatable_kiddie kiddy_pool wading_pool[HYPO] swimming_pools[HYPO] generates_mappings hosting_THQ_Homefront kiddie_pool
send,116,sending[MORPHO] sent[MORPHO] sends[MORPHO] Sending[MORPHO] Send[MORPHO] Text_NR eveningstarletters@eveningstar.co.uk resend bring[COHYPO] pokorny@pfcritics.com
wait,115,waiting[MORPHO] waited[MORPHO] waits[MORPHO] wait_patiently Wait[MORPHO] ash_cloud_dissipates wait_til waiting_patiently Waiting[MORPHO] direction_Ditcharo
practice,113,practiced[MORPHO] practicing[MORPHO] pratice practices[MORPHO] Practice[MORPHO] prac_tice workouts[COHYPO] Practicing[MORPHO] shoot_arounds workout[COHYPO]
example,11,instance[SYN] examples[MORPHO] illustration[SYN] exemplar[SYN] shining_example reason[COHYPO] Example[MORPHO] counterexample[COHYPO] analogy[COHYPO] metaphor[COHYPO]
act,11,acts[MORPHO] acted[MORPHO] acting[MORPHO] behave[SYN] act_decisively Acts[MORPHO] Still_Geberth punish_wrongdoers Sanctioning_bodies commit
conversation,106,conversations[MORPHO] discussion[COHYPO] coversation discussions[COHYPO] chats[HYPO] chit_chat[HYPO] convo chat[HYPO] banter[COHYPO] dialogue[HYPO]
easy,94,easier[MORPHO] easiest[MORPHO] simple Easy[MORPHO] difficult[ANTO] effortless straightforward convenient quick tempting
dream,90,dreams[MORPHO] lifelong_dream boyhood_dream dreamed[MORPHO] lifelong_ambition dreaming[MORPHO] boyhood_dreams daydream[SYN] fondest_dreams wildest_dream
often,88,sometimes frequently[SYN] usually oftentimes[SYN] rarely[ANTO] typically seldom Often[MORPHO] routinely invariably
lots,87,lot[SYN] plenty[SYN] Lots[COHYPO] some galore aplenty LOTS[COHYPO] oodles[SYN] bunch[SYN] kinds[COHYPO]
miss,86,missed[MORPHO] misses[MORPHO] SOA_Web_#.#/AJAX Missed[MORPHO] roomy_Derek_Boogaard terribly_Shecket skip[COHYPO] lose[SYN] disappoint forget
live,85,living[MORPHO] Live[MORPHO] reside[HYPO] GoFightLive.tv lived[MORPHO] score_preview_recaps cherish_el_Gamal www.spss.com_invest Optionetics_Inc Merapi_fertile_slopes
picture,72,pictures[MORPHO] photograph[SYN] portrait[COHYPO] photo[SYN] photos[COHYPO] photographs[COHYPO] images[COHYPO] picutre image[SYN] snapshots[COHYPO]
big,68,huge bigger[MORPHO] biggest[MORPHO] major gigantic HUGE large[SYN] humongous Huge great[SYN]
apparently,67,evidently[SYN] reportedly presumably Apparently[MORPHO] supposedly Evidently seemingly[SYN] clearly initially ostensibly[SYN]
put,52,putting[MORPHO] puts[MORPHO] Putting[MORPHO] Put[MORPHO] placed pull[COHYPO] bring brought pushed come[COHYPO]
small,51,large[ANTO] tiny medium_sized Small[MORPHO] smaller[MORPHO] minuscule[SYN] larger mid_sized midsized sizable
visit,500,vist visiting[MORPHO] visits[MORPHO] Visit[MORPHO] visited[MORPHO] visist trip[COHYPO] visted Catte_Nappe visitthe
phone,500,telephone[SYN] cell_phone cellphone[HYPO] Phone[MORPHO] phones[MORPHO] landline[COHYPO] voicemail[COHYPO] caller_id[COHYPO] RingCentral_cloud_computing telephones[COHYPO]
suck,500,sucking[MORPHO] sucks[MORPHO] sucked[MORPHO] Sucking[MORPHO] suckin rip[COHYPO] spew gobble[COHYPO] piss[COHYPO] bleed
ok,500,okay[SYN] alright[SYN] OK[MORPHO] lol anyways hey Ok[MORPHO] allright thats yeah
woman,500,man[ANTO] girl[HYPO] teenage_girl teenager[COHYPO] lady[HYPO] teenaged_girl mother[COHYPO] policewoman[COHYPO] boy[COHYPO] Woman[MORPHO]
evil,500,malevolent[SYN] wickedness[SYN] evil_doers demonic villainous Evil[MORPHO] evil_incarnate satanic satan evilness[SYN]
think,500,know[COHYPO] guess[SYN] suppose[SYN] really thought[MORPHO] obviously maybe probably believe[SYN] definitely
gay,500,homosexual[SYN] lesbian[HYPO] gays[MORPHO] LGBT homosexuals[COHYPO] lesbians[HYPO] transgender GLBT gay_lesbian openly_gay
smile,500,grin[SYN] smiles[MORPHO] grins[COHYPO] beaming_smile smirk[HYPO] smiling[MORPHO] mischievous_smile toothy_grin toothy_smile sly_grin
god,500,gods[MORPHO] deity[SYN] God[MORPHO] diety goddess deities lord god_Zeus Almighty Gods[MORPHO]
food,500,foods[MORPHO] Food[MORPHO] foodstuffs[COHYPO] meals[HYPO] food_stuffs nourishing_meals foodstuff[COHYPO] staple_foods nutritious meal[HYPO]
finish,500,finishing[MORPHO] finishes[MORPHO] finished[MORPHO] finsh fi_nish Finishing[MORPHO] finsih win[COHYPO] finshing finshed
movie,500,film[SYN] movies[MORPHO] films[COHYPO] moive Movie[MORPHO] horror_flick sequel[COHYPO] Guy_Ritchie_Revolver romantic_comedy flick[SYN]
want,500,do[COHYPO] wanted[MORPHO] need[SYN] can[COHYPO] wanting[MORPHO] prefer wanna wants[MORPHO] wantto going[COHYPO]
hair,500,curly_hair tresses[HYPO] mane[HYPO] hairdo[HYPO] blonde_hair blond_hair gray_hair wavy_hair hairstyle[HYPO] blonde_locks
church,500,congregation[COHYPO] churches[MORPHO] Church[MORPHO] parishioners[COHYPO] Catholic_Church[HYPO] congregations[COHYPO] parish[COHYPO] chuch parishoners Roman_Catholic_Church[HYPO]
coffee,500,coffees[MORPHO] gourmet_coffee Coffee[MORPHO] o_joe Starbucks_coffee coffee_beans[COHYPO] latté cappuccino[HYPO] brewed_coffee espresso[HYPO]
fire,500,blaze[COHYPO] fires[MORPHO] Fire[MORPHO] flames[COHYPO] carelessly_discarded_cigarette inferno[COHYPO] firefighters[COHYPO] alarm_blaze brush_fires[HYPO] grassfire[HYPO]
friends,500,acquaintances[COHYPO] friend[SYN] buddies[HYPO] pals[HYPO] relatives[COHYPO] girlfriends[HYPO] family[COHYPO] grandparents_aunts_uncles_cousins freinds acquaintences
tv,500,TV[MORPHO] Tv[MORPHO] televison television[SYN] teevee telly[SYN] espn hbo nbc cbs
