world,65,globe theworld country continent worldâ_€_™ nation global worldwide United_States globally
days,45,weeks months hours years day week month minutes decades fortnight
blog,500,Blog blogs blogger blogsite Weblog Visit_Sandy_Bauers blogging http://go.philly.com/greenspace Blogger Twitter
emoji,500,Emoji autocorrect_feature touchscreen_keyboard AwesomeBar Safari_Browser custom_UIs swype smilies autocorrect SBSettings
getting,59,get got Getting gotten gets geting gettting gettin having going
god,500,gods deity God diety goddess deities lord god_Zeus Almighty Gods
man,500,woman boy teenager teenage_girl girl suspected_purse_snatcher robber Robbery_suspect teen_ager men
tell,500,know telling tells ask Tell say Telling see remind explain
house,442,houses bungalow apartment bedroom townhouse residence mansion farmhouse duplex appartment
away,19,out off apart down back into awayfrom aways in. up
stuff,500,Pretty_classless things crap thing really shit guys kinda Indeed_Rakieten something
everyone,228,everybody Everyone Everybody nobody anyone everything anybody everbody eveyone EVERYONE
every,32,Every each EVERY Each this evey another everybody everyone entire
came,112,went brought come drew got took sprang gave ran saw
best,109,finest worst greatest strongest smartest easiest good thebest quickest healthiest
anything,500,nothing anybody something anyone not Nothing everything any Anything never
nothing,151,anything Nothing something everything nobody no anybody NOTHING never certainly
may,50,might could should can will would must likely Should Could
years,74,decades months decade weeks days yeas years.The year ##years seasons
read,500,reading reread reads write Reread handwrite written read_aloud http://www.jpost.com_servlet_Satellite visit_www.sj-r.com/bakke
guess,500,suppose think yeah maybe probably pioneer_LaLanne anyway know hey Yeah
nice,500,good lovely neat fantastic wonderful terrific great awesome nicer decent
old,313,yearold boy 0ld daughter son Dog_mauls girl daughter_Kylah olds Zahara_adopted
put,52,putting puts Putting Put placed pull bring brought pushed come
anyway,500,anyhow anyways probably actually fighters_overran_Kibumba guess not hey if so
place,9,palce places spot placein sole_possession placed sole_possesion finish sole_posession
yeah,500,Yeah hey kinda geez maybe Oh_yeah Oh_yeah_yeah Yeah_yeah guess dunno
hope,74,hoping hopeful sincerely_hope hopefully hopes Hopefully hoped believe wish chance
left,108,leaving leave leaves returned right departed limped went remaining empty
happy,500,glad pleased ecstatic overjoyed thrilled satisfied proud delighted disappointed excited
told,142,tells said quoted telling toldThe toldthe confided explained tolds spoke
big,68,huge bigger biggest major gigantic HUGE large humongous Huge great
u,500,ur u_dont b4_u lol some1 u_hav ppl jst u've u'll
friend,500,pal friends buddy dear_friend acquaintance cousin girlfriend colleague uncle roommate
everything,289,Everything everybody everyone anything nothing whatever something things everthing what
give,61,giving gave Give gives provide given Giving take get togive
end,10,ending ends beginning ended theend endof midpoint start prolong mid
guy,500,dude kid guys somebody fella he'sa kidder bloke guy'sa Mike'sa
mean,313,means imply equate necessarily necessitate entail bode_well portend do anyway
morning,283,afternoon evening moring midday night afteroon Friday Monday midmorning day
done,74,doing do accomplished undertaken Doing happened gone performed Basketball_betting.com handled
person,58,someone persons woman somebody peson man people anyone guy Someone
enough,68,sufficient enought too sufficiently not able so needed could did
talk,156,talking talked speak Talk discuss discussing tell brag complain blab
yes,500,mso_style_qformat Yes mso_style_noshow resounding_YES emerge_victorious_Inouye yeah resounding_NO Well_duh Uh Oh_yes
post,34,posts www.pressbanner.com Katrice_Rachal_Thanks balmy_breezy_afternoon Trackback_URL disabled_pinging Wazen_Dhehiba_border mineral_diorite_porphyry e_mail_editorNTL@gannetthg.com tips_+_adam@lifehacker.com
keep,46,kept keeping keeps stay Keeping Keep maintain Kept remain tokeep
probably,500,maybe anyway guess certainly definitely think Probably suppose obviously thought
call,500,Call calls calling dial_#-###-### visit_www.clairmail.com visit_www.oscars.org See_www.thewerehouse.com Charlene_Pellin_answered information_visit_http://www.tempurpedic.com calll
might,157,may could would should Might possibly Could perhaps probably Would
yet,56,not already but though although still nor have indeed never
whole,63,entire basically really rest everybody silly_Billen just quite_frankly this forgive_adultery
bit,500,little wee_bit tad litle_bit maybe somewhat kinda teeny_bit litte definitely
started,59,began begun begain start stopped begin resumed went progressed Started
times,20,twice occasions days years occassions time past periods hours quarters
cool,218,Cool cooler coolest coolness toasty warm hi_dev_ur hot cooled cools
else,500,anybody anything anyone never_recriminated somebody_else car_Borihanh nobody PRESIDENT_OBAMA_Hello anyone_De_Salis political_gundas
found,46,discovered find uncovered finding finds stumbled_upon unearthed discoverd searched showed
wanted,215,want tried knew did wants wanting liked decided wished hoped
least,15,Piedra_Blanca_emergency one only leas nearly minimum roughly five leat Only
took,53,taking take taken takes gave Taking went came Took retook
movie,500,film movies films moive Movie horror_flick sequel Guy_Ritchie_Revolver romantic_comedy flick
dont,500,cant i_dont wont thats wouldnt i_cant dosent u_cant beleave does'nt
show,93,shows showing Show showed shown demonstrate Shows THE_SINGING_BEE PBS_Soundstage Jimmy_Kimmell
ok,500,okay alright OK lol anyways hey Ok allright thats yeah
try,160,trying tried tries want hoping Trying attempt regroup_refocus attempting let
later,31,after before earlier ago shortly_thereafter shortly_afterwards subsequently Later eventually next
trying,134,attempting tried Trying try tryingto hoping striving endeavoring tyring Attempting
called,45,dubbed termed calling Called referred denounced described Calling calls derided
part,19,integral_part element component centerpiece aspect facet integral_component cornerstone linchpin outgrowth
start,26,begin started starting starts beginning Start finish began commence resume
hard,43,harder Hard tough difficult hardest frustrating easy good really virtually_impossible
tomorrow,250,tonight tommorow tommorrow tomorow tomorrrow today Tomorrow Saturday Friday Sunday
looking,67,look searching hoping trying Looking eyeing aiming seeing striving eying
help,53,helping helps Help tohelp assist helped Helping enable try needed
anyone,149,anybody someone Anybody nobody everyone anything Anyone Nobody somebody ANYONE
gon,500,cyaan neva mi_nuh waan dat haffi ya finna dem_nuh weh_mi
kind,500,sort really type itchy_Sakleh something basically shocked_Leskoven definitely Ben_Hur_proportions confusion_Saljic
name,113,names surname moniker Trajche_Shoposki monikers nickname forename pseudonym monicker Name
mom,500,Mom dad mother grandma mommy daddy moms Dad daughter mama
quite,500,very pretty fairly incredibly so terribly exceedingly Quite awfully extremely
saw,73,noticed witnessed seeing looked came watched seen showed went see
course,150,courses Course Innisbrook_Copperhead Meadow_Valleys USATF_certified Safriya Maui_Kapalua_Plantation Fazio_Canyons emetogenic_cancer Courses
without,31,Without sans witout before no withouth prevented whatsoever w_o incapable
job,51,jobs Job BrokeAss_Blog_Need work daunting_Platoni employment monster.com thankless_job rsum temping
must,62,should can ought will need may MUST shall required could
mind,22,minds concentration_Petruzziello em_comin thinking eyes Simple_Keb_Mo subconscious_mind mindset Boggles stage_Yusafzai
head,22,heads Head director assistant deputy chief chair Youssef_Kanjo arm vice_president
finally,52,FINALLY belatedly eventually again fi_nally once then before when soon
remember,454,forget remembering remembered vividly_remember know recollect remembers remind tell reminded
makes,155,Makes make making gives becomes renders Making made creates is
yesterday,100,Yesterday Monday Wednesday Thursday Tuesday Friday yesteday today yeterday morning
hours,129,days hour minutes weeks day months ##minutes o'clock ##hours #/#-hours
play,278,playing plays played game toplay Playing games paly score Play
believe,126,say think argue presume convinced believing beleive belive surmise know
use,58,using utilize used uses Use usage Using Utilize utilizing utilized
hate,500,despise Hate detest hatred hating hates HATE dislike love hated
car,500,vehicle cars SUV minivan truck Car Ford_Focus Honda_Civic Jeep pickup_truck
already,32,Already been have now yet recently also has previously currently
girl,500,boy teenage_girl woman teenager schoolgirl teenaged_girl daughter mother toddler girls
guys,500,fellas guy Guys crooks_sociopaths dudes QUOTE_TO_NOTE chase_broads really Namely_How'd_these COACH_PHILLIPS
point,30,points pointers mispronounced_McNamee_name juncture makeable_shots Prucnell_stops pointer threepoint arc freethrow_line
lol,500,haha cuz lmao hahahaha hahah thats tho hahaha lmfao LMAO
weekend,81,week summer Saturday weeked Labor_Day Weekend night Sunday afternoon weekened
thinking,452,Thinking think dreaming thought talking imagining ##'Yankees Woody_Allen_steamiest_WHAT mindset Fred_Cederholm
room,330,rooms upstairs hallway downstairs dining_room bathroom kitchenette jacuzzi_tub basement lounge
used,36,utilized using use uses intended Used Using misused designed beused
family,406,relatives familiy families siblings friends mother fam_ily famiy famliy aunt
game,500,games play match matchup agame ballgame thegame opener matches tournament
live,85,living Live reside GoFightLive.tv lived score_preview_recaps cherish_el_Gamal www.spss.com_invest Optionetics_Inc Merapi_fertile_slopes
money,164,monies funds moneys dollars cash vast_sums fund Money taxpayer_dollars Monies
talking,395,talk talked discussing thinking bragging chatting telling talkin conversing fantasizing
music,500,classical_music jazz Music Without_Donny_Kirshner songs musicians tunes musical Logue_typed musics
funny,500,hilarious humorous hilariously_funny amusing found_loophole_Conk goofy comical witty funniest freaking_hilarious
almost,26,nearly practically virtually Almost roughly seemingly Virtually just Nearly every
sleep,415,sleeping restful_sleep restorative_sleep slept nap wakings naps fitful_sleep Sleep doze
tonight,500,Tonight tomorrow tonights night Saturday Tonights tongiht tomorrrow tommorow Antonio_Santino_emailed
feeling,229,feel felt feels Feeling feeing feelings Well_how're Clarisse_Que mood sense
three,145,four five two six seven eight nine eleven several ten
book,500,tome books memoir paperback_edition autobiography memoirs Book paperback novels hardback
class,38,classes classs Faithfully_Fit_exercise Class Ramla_mixed grade middle IKON_integrates runic_setup_signifies royalists_wealthy
real,69,genuine great really actual everything'sa actually kind true Therein_lays definite
far,14,much farther so well yet just Far none many furthest
n,500,* l o ‰ Connect_io round_tha_wrld Councilman_Richard_Alarc Doesnâ_€_™ ï w
decided,93,opted chose persuaded agreed wanted decides instructed decide felt_compelled refused
seems,148,appears seemed seem Seems looks is feels Is proves seemingly
says,200,said thinks explains concedes believes acknowledges argues explained asserts warns
fact,42,actuality actually retrospect that assertion protestations statistic indeed why though
watch,74,watching watched Watching watches see watchin I'ma_Trekkie Today_GoldmanResearchGroup.com_announces TiVo'd glued
write,97,writing read Write written handwrite publish reread scribble Geno_Excellent compose
care,271,Care caring cared maintenance_Aurum_Mine hospice_palliative Care_Nurse_Practitioners homecare health_care palliative_care CareScout_helps
able,95,unable ableto trying can allowed managed enough ability could going
soon,36,quickly Soon shortly_thereafter eventually shortly sometime sooner immediately imminently swiftly
stop,34,stopped stopping stops Stop halt prevent Stopping cease dissuade deter
different,114,Different diff_erent differing dif_ferent differ_ent diferent varying differently diffferent divergent
leave,48,leaving stay depart Leaving left leaves return vacate quit rejoin
working,41,worked work Working collaborating works toiling worked_diligently trying striving doing
wait,115,waiting waited waits wait_patiently Wait ash_cloud_dissipates wait_til waiting_patiently Waiting direction_Ditcharo
together,39,gether togther cohesively cohesive Together togehter harmoniously disparate delicately_balanced_Lieberman disparate_strands
wo,500,ca microsoft adobe_photoshop os #_xfffd buy_microsoft gui windows_xp quickbooks ui
shit,500,sh_*_t crap fucking sh_t fuckin sh_** fuck f_*_cking y'know shyt
past,38,over recent Over thepast last ago previous p_ast years that've
coming,56,come going Coming heading came getting go comin next bringing
hell,500,heck Hell landing_Kolodjay Crousser shit fucking_shit freakin f_***_ing he## fucking
song,500,songs lyrics lyric ballad anthem tunes album ditty melody haunting_ballad
sometimes,254,often oftentimes usually occasionally Sometimes Often frequently typically rarely invariably
wrong,265,dreadfully_wrong correct horribly_wrong Wrong incorrect right stupid amiss WRONG disastrously_wrong
felt,92,feel feeling feels thought knew sensed seemed looked Feeling really_brainwashed_Geier
ask,500,asking asked asks tell Ask know questons SCHIEFFER_Let Asking e_mail_webeditor@sfnewmexican.com
making,18,made make Making makes Make becoming makin getting mak_ing putting
reason,52,reasons why justification excuse motivating_factor explanation rationale thing because motivation
reading,179,read writing reading_aloud reread Schlichenmeyer rereading readings Kindle_Karimian reads reading_comprehension
wish,193,wished wishing wishes want wanted hope DTT_NET.COM_editor@dtt-net.com sincerely_hope Merry_Christmas_Happy desire
seen,26,witnessed shown noticed saw viewed see seeing glimpsed Seen watched
change,80,changes changing changed alter shift Changing Change seismic_shift Changes altering
asked,152,ask asking asks queried Asked requested inquired wondered instructed refused
damn,500,darn goddamn freakin fucking dang darned damned friggin shit dammit
story,276,stories tale Associated_PressComment fable tales retelling narrative Story backstory harrowing_tale
free,30,Free Six_Flags_website_http://www.sixflags.com FREE nominal_fee therapy_systems_NFITS restricted complimentary afree www.dickmorris.com ###-####_artmuseumgr.org
high,20,low High higher highest ahigh lower Low HIGH lowest elevated
idea,42,concept notion suggestion ideas theory thought notions proposition proposal thing
dad,500,Dad father grandpa daddy mom stepdad son granddad uncle brother
couple,66,few two several three four pair five six some acouple
minutes,308,mintues minute seconds ##minutes hours hour minuets mintes min_utes minuts
hey,500,c'mon yeah Hey oh_yeah y'know freakin dammit geez Okay oh
ago,29,last later earlier yearsago after past years ago.The Within agao
bed,459,beds couch bassinette sofa sleep foldout_couch bunk_bed duvet sleeping driver_Gul_Janan
stupid,500,dumb silly idiotic foolish ridiculous Stupid_stupid dumb_dumb moronic idiots childish_immature
interesting,243,intriguing fascinating exciting Interesting intersting instructive intruiging amusing enlightening curious
heart,179,hearts Heart heartbeat congestive_heart_failure cardiac myocardial_infraction coronary_artery_clots lion_Frese empowers_CSPs coronary
news,177,Latest_Tanker_Operator MCOT_online Pete_Tenney_KTEN valfen@di-ve.com press Charmaine_Chetcuti_di_ve News Ruben_Cassar_di_ve media Visit_FinanceVisor
kids,500,children kid parents youngsters Kids teenagers grandkids middle_schoolers teens kiddos
miss,86,missed misses SOA_Web_#.#/AJAX Missed roomy_Derek_Boogaard terribly_Shecket skip lose disappoint forget
face,15,faces faced facing Facing confront Face confronting Mother_Nature_Gino_Izzi Rutter_wrenched pose
party,500,Party parties partys Democratic_Party LOUDON_NH_Brad_Keselowski caucus pary faction mad_hatter_tea Labour_Party
sorry,500,deeply_sorry ashamed apologize Sorry sad regretful glad embarassed apologizing embarrassed
either,102,or not any simply No_Snoopy_bedsheets if neither unless anyway e_mail_palitem@richmond.gannett.com
half,203,quarter quarters midway_through midway_throught fourths firsthalf ##/#-minute_span minutes substituting_liberally quater
lost,70,losing lose regained loses loosing gained dropped loss won regain
phone,500,telephone cell_phone cellphone Phone phones landline voicemail caller_id RingCentral_cloud_computing telephones
run,183,runs running drive ran scamper tworun_double go twoout walk Mark_Grudzielanek_singled
okay,500,alright ok OK yeah allright hey say_Hey_feller anyway anyways maybe
food,500,foods Food foodstuffs meals food_stuffs nourishing_meals foodstuff staple_foods nutritious meal
please,500,Please DMSP_Information www.nasdaq.com_GlobalSelect beaufortgazette.com see_http://www.fujitsu.com/ www.mitx.org Brownstone_website_www.brownstoneventures.com see_www.merial.com PLEASE Company_website_www.trinitybiotech.com
hear,159,heard hears listen listened tell Hear listening see spoons_clanking Wah_wah_wah
comes,198,goes takes brings gets happens puts came arrives there'sa begins
side,27,sides Sartin_underwent_mastectomy Mayra_Valle_rushed flank corner opposite front euromoney.com Posh_rushes flanks
tired,347,fatigued weary bored Tired tiring frustrated irritated annoyed antsy tiresome
friday,500,monday tuesday saturday thursday sunday wednesday fridays feb july tommorow
happened,198,transpired happed occurred happening occured happend happen happpened happned happens
goes,273,comes gets pushes go happens takes puts pulls gone sneaks
saying,80,telling stating suggesting insisting implying arguing said say asserting claiming
second,172,third fourth fifth first sixth seventh eighth ninth fouth eleventh
summer,80,spring winter summertime summers autumn weekend week Summer springtime month
however,71,though although nevertheless nonetheless that meanwhile also but only not
rest,12,remainder entire whole Goeres_sued alerts_BEFORE recuperate Crikey_Army the just back
cause,67,causes caused causing contributing_factor Cause casued Causing casue culprit contributory_factor
words,379,phrases phrase Words word adjectives uttered plate_umpire_Tony_Randozzo expletives Mayor_Cirilo_Pena Tele_prompter
thats,500,Thats dont i_dont whats lol ..... cant wouldnt haha hes
eyes,224,eye Wretched_mortals_open ears gaze Eyes beady_eyes lips cheeks eyelids pupils_dilated
weeks,42,months days week years month hours fortnight decades Months weeks.The
haha,500,lol hahaha lmao cuz hahahaha hahah im_gonna Hahaha hehe thats
knew,458,thought know wanted figured felt liked sanctuary_DellaBianca realized hadn'ta_clue sensed
hour,92,hours minutes minute ##/#-hour hourlong ##minute ##minutes halfhour day #/#-hour
eat,500,eating ate eaten eats munch eat_healthfully eat_fatty_foods consume Nutritionists_recommend overeaten
gone,67,went go goes fallen come gotten done moved going disappeared
late,26,early mid Late After_inventing_microarray primetime_daytime CMEA_invests Early sometime after last
kinda,500,sorta yeah really hey kinda_weird y'know sooooo sooo Yeah soooo
set,12,setting sets Setting Set broke Sets Jilted_firefighter_set breaking pushed put
check,57,checking checks checked Checking recheck doublecheck Check VGGEN_often Charge_Issuing_worthless ABCActionNews.com
rather,48,instead Rather merely less simply more Instead than preferring infinitely
computer,500,computers laptop laptop_computer Computer com_puter technician_Leonard_Luchko mainframes_minicomputers laptop_computers PC maker_Dell_DELL.O
hot,92,Hot hottest hotter CHEFS_Chefs sizzling scorching teardrop_shaped_VTA cool briquette_iron heated
heard,151,hear listened hears heared twisted_insensible_things spoken uttered Chiddy_Bang_maybe overheard sounded
site,500,sites Site www.panasonic.com/3D website site.The web www.mphventurescorp.com location www.meau.com Visit_TMM
looks,79,look looked seems feels Looks sees appears resembles looking sounds
watching,100,watch watched Watching seeing watchin glued TiVo'd rewatching watches transfixed
stay,33,staying stayed stays keep remain Staying Stay leave go keeping
playing,172,play played Playing plays game playin games Played practicing player
true,99,truest truer truth sounds_trite Liyer_wish genuine C'est_Vrai_means Sounds_TOO LiquidViagra real
taking,30,take took Taking taken takes handing giving putting Take tak_ing
parents,500,grandparents Parents children siblings younger_siblings kids mother child daughters mothers
hand,20,hands Hand finger fingers Hands palm arm thumb fingertips ear
full,29,Full afull complete FULL PNC.C_PNC.C SCE.Q_SCE.Q NWS.A_NWS.A._NWS.A ERGY_ERGY GDSZF_GDSZF fuller
less,108,more than Less fewer rather most infinitely Oversulfated_condroitin_sulfate likelier LESS
others,22,those people other them Others bystanders Crilly_niece MIP_Peachtree_SalesLogix_Timberline HDNet_Movies_Sneak_Previews Lemmon_Bland
instead,35,rather Instead Rather merely while simply thereby Or mindlessly preferring
understand,416,comprehend explain know realize understood understands understanding recognize appreciate un_derstand
gave,41,give giving gives given took Gave got Give came Giving
buy,94,sell purchase buying bought buys Buy tobuy purchased Buying acquire
whatever,445,Whatever wherever everything whoever somebody_else whomever regardless whenever what somebody
means,92,mean implies necessitates entails presupposes equates boils_down requires preferable meaning
sad,480,saddening Sad saddened heartbreaking disheartening Meny_Friedman parishioner_Pat_Patello saddens_me distressing reminders_bobbing
hair,500,curly_hair tresses mane hairdo blonde_hair blond_hair gray_hair wavy_hair hairstyle blonde_locks
along,9,Along across paralleling alongside through onto beside flanking parallel
girls,500,boys Girls teenage_girls women girl teenagers kids ladies middle_schoolers schoolgirls
word,168,phrase words verb Word adjective cuss_word colloquialism noun astrology_#/##/## synonym
small,51,large tiny medium_sized Small smaller minuscule larger mid_sized midsized sizable
early,23,late Early mid Late sometime before earliest until eary ealy
fucking,500,fuckin fuck goddamn shit f_*_cking f_***_ing f_**_king friggin freakin fucked
dinner,500,dinners brunch Dinner supper luncheon banquet breakfast buffet_dinner meal lunch
seem,172,seems seemed appear necessarily seemingly certainly quite they're not admittedly
looked,79,seemed looks Looked look felt thought stared saw appeared sounded
writing,425,write Writing written penning composing reading Akkadian_wedge_script writting scribbling wrote
saturday,500,sunday friday monday thursday tuesday wednesday tommorow feb tonite saturdays
wan,500,zhe haggard na hee ho lank hoo tranh hu han
ass,500,butt azz shit asses dick hiney dude d_*_ck nads **_es
tried,127,attempted tried_unsuccessfully trying attempting try wanted attempt strove managed struggled
problem,135,problems dilemma prob_lem conundrum probem shortcoming Problem issue quandary trouble
group,33,groups organization =_rectangle goup Groups advocacy GROUP Ithmaar_banking Neturei_Karta_sect consortium
matter,53,mater matters issue mattter creatively_spelled question regardless Weather.com_handles Accomplishing_teamwork MARCIA_COYLE
thanks,26,Thanks THANKS courtesy thank benefitted kudos despite congrats benefited grateful
gets,247,receives get goes loses getting got recieves comes earns garners
moment,27,moments juncture TBO.com_Live time thing mo_ment fleeting_moments defining_moment something critical_juncture
turn,42,turning turned turns Turning pull Turn morph yank move transform
months,51,weeks years days month decades year hours week Months decade
close,12,closed closing closest closer toclose Close open closes between nearer
played,98,playing play Played plays Playing coached played_sparingly reffed starred competed
ya,500,eh whut cyaan heah cuz yah yer nuttin doan whatcha
crazy,500,mad insane weird bonkers ridiculous stupid crazier freaky freaking wacky
bush,500,bushes Saichi_deserted Unconfirmed_sightings mulga bushland near_Koure_Niger eucalypt_trees dense_bush bushman eucalypt_forest
walk,112,walking walks walked stroll Walking Walk wander jog saunter amble
spent,28,spend spends Spent Spend devotes expended wasted devoting devoted devote
move,31,moves moving push moved step Moving relocate go switch leap
sunday,500,saturday monday thursday friday tuesday sundays saturdays wednesday nite tonite
water,500,potable_water Water sewage groundwater Floridan_aquifer surficial_aquifer freshwater potable wastewater brackish_groundwater
top,64,Top topmost tops thetop top## upper_echelon highest No.1 No. fifth
open,16,opened closed opens opening reopen closes close 9am_5pm_Mon reopened ajar
front,32,beside rear outside inside Driv_Driver infront manual_recliners Motioning side palifosfamide_administered_intravenously
white,500,black blue brown colored wrote_Newitz gray whites browns_grays blues_grays grays_browns
wonder,232,wondering wondered wonders wondered_aloud wondering_aloud ponder know imagine fathom guess
baby,500,newborn babies infant newborn_baby toddler Asome_news child triplets Baby Rebecca_Bresnik_meanwhile
black,500,white Responded_Letterman_How blacks crypt_inscribed transporting_petrochemicals brown Shilah_Phillips women_dating_interracially wrote_Newitz blue
happen,395,happens occur happening happened tomorrow_Camardelle do hap_pen Jassim_Zeidan_al mourner_Nazakat_Soomro come
pm,500,noon 7p.m. ##a.m. #:##_p.m. 1p.m. 4p.m. pmon #:## 3p.m. 6p.m.
birthday,244,##st_birthday birthdays Birthday wedding_anniversary birthday_bash birthday_celebrations brithday b'day bday anniversary
met,64,meet visited meets crossed_paths meeting talked spoke lunched dined conversed
alone,7,annie##_leave_lindsay assigning_tiring Leave_Dudus Players_Gone_Amok Giovanditto_lived Osco_Drugstores just
fuck,500,fucking f_*_ck f_**_k shit fucked fuckin f_*** f_ck f_--- Fuck
knows,353,thinks understands realizes loves know wants cares hasn'ta_clue likes forgets
weird,500,strange freaky crazy kinda_weird surreal scary wierd funny creepy bizarre
watched,89,watching watch Watching Watched saw watched_intently gasped watches sat_transfixed transfixed
living,62,lived residing live lives Living squalid_overcrowded reside sleeping squalor resided
become,21,becoming became becomes Becoming beome Become becomming increasingly be growingly
outside,23,inside Outside where ouside outisde front in nearby near oustide
boy,500,girl teenager toddler teenage_girl man teen_ager son kid youngster stepfather
although,135,but though Although Though However however nevertheless Nevertheless But Admittedly
thank,208,sincerely_thank thanking Thank heartfelt_thanks thanked sincere_gratitude sincere_appreciation congratulate commend grateful
wants,191,decides intends refuses chooses agrees want seeks aspires wanted thinks
city,500,citys mayor town municipality municipal downtown thecity Mayor district county
talked,215,spoke talking talk chatted spoken discussed inquired Talked reminisced discussing
